country,year,estimate,hi,lo
AFG,2009,NA,NA,NA
AFG,2010,NA,NA,NA
AFG,2011,NA,NA,NA
AFG,2012,NA,NA,NA
AFG,2013,NA,NA,NA
AFG,2014,NA,NA,NA
AFG,2015,NA,NA,NA
AFG,2016,NA,NA,NA
AFG,2017,NA,NA,NA
AGO,2009,NA,NA,NA
AGO,2010,0.03,0.04,0.02
AGO,2011,0.05,0.07,0.04
AGO,2012,0.06,0.08,0.05
AGO,2013,0.15,0.2,0.12
AGO,2014,0.1,0.14,0.08
AGO,2015,0.06,0.08,0.05
AGO,2016,0.01,0.02,0.01
AGO,2017,0.01,0.02,0.01
AIA,2009,NA,NA,NA
AIA,2010,NA,NA,NA
AIA,2011,NA,NA,NA
AIA,2012,NA,NA,NA
AIA,2013,NA,NA,NA
AIA,2014,NA,NA,NA
AIA,2015,NA,NA,NA
AIA,2016,NA,NA,NA
AIA,2017,NA,NA,NA
ALB,2009,NA,NA,NA
ALB,2010,NA,NA,NA
ALB,2011,NA,NA,NA
ALB,2012,NA,NA,NA
ALB,2013,NA,NA,NA
ALB,2014,NA,NA,NA
ALB,2015,NA,NA,NA
ALB,2016,NA,NA,NA
ALB,2017,NA,NA,NA
ARE,2009,NA,NA,NA
ARE,2010,NA,NA,NA
ARE,2011,NA,NA,NA
ARE,2012,NA,NA,NA
ARE,2013,NA,NA,NA
ARE,2014,NA,NA,NA
ARE,2015,NA,NA,NA
ARE,2016,NA,NA,NA
ARE,2017,NA,NA,NA
ARG,2009,NA,NA,NA
ARG,2010,NA,NA,NA
ARG,2011,0.13,0.14,0.11
ARG,2012,0.12,0.14,0.11
ARG,2013,0.12,0.14,0.11
ARG,2014,0.52,0.61,0.48
ARG,2015,0.53,0.61,0.48
ARG,2016,0.67,0.77,0.61
ARG,2017,0.66,0.77,0.6
ARM,2009,NA,NA,NA
ARM,2010,NA,NA,NA
ARM,2011,NA,NA,NA
ARM,2012,NA,NA,NA
ARM,2013,NA,NA,NA
ARM,2014,NA,NA,NA
ARM,2015,NA,NA,NA
ARM,2016,NA,NA,NA
ARM,2017,NA,NA,NA
ATG,2009,NA,NA,NA
ATG,2010,NA,NA,NA
ATG,2011,NA,NA,NA
ATG,2012,NA,NA,NA
ATG,2013,NA,NA,NA
ATG,2014,NA,NA,NA
ATG,2015,NA,NA,NA
ATG,2016,NA,NA,NA
ATG,2017,NA,NA,NA
AUS,2009,NA,NA,NA
AUS,2010,NA,NA,NA
AUS,2011,NA,NA,NA
AUS,2012,NA,NA,NA
AUS,2013,NA,NA,NA
AUS,2014,NA,NA,NA
AUS,2015,NA,NA,NA
AUS,2016,NA,NA,NA
AUS,2017,NA,NA,NA
AUT,2009,NA,NA,NA
AUT,2010,NA,NA,NA
AUT,2011,NA,NA,NA
AUT,2012,NA,NA,NA
AUT,2013,NA,NA,NA
AUT,2014,NA,NA,NA
AUT,2015,NA,NA,NA
AUT,2016,NA,NA,NA
AUT,2017,NA,NA,NA
AZE,2009,0.26,0.35,0.18
AZE,2010,0.24,0.31,0.17
AZE,2011,0.38,0.54,0.27
AZE,2012,0.55,0.76,0.39
AZE,2013,0.61,0.83,0.44
AZE,2014,0.74,0.95,0.53
AZE,2015,0.83,0.95,0.64
AZE,2016,0.75,0.95,0.56
AZE,2017,0.74,0.95,0.56
BDI,2009,NA,NA,NA
BDI,2010,0.1,0.15,0.08
BDI,2011,0.1,0.15,0.08
BDI,2012,0.11,0.16,0.09
BDI,2013,0.18,0.26,0.15
BDI,2014,0.12,0.16,0.1
BDI,2015,0.02,0.02,0.02
BDI,2016,0.12,0.16,0.1
BDI,2017,0.2,0.28,0.16
BEL,2009,NA,NA,NA
BEL,2010,NA,NA,NA
BEL,2011,NA,NA,NA
BEL,2012,NA,NA,NA
BEL,2013,NA,NA,NA
BEL,2014,NA,NA,NA
BEL,2015,NA,NA,NA
BEL,2016,NA,NA,NA
BEL,2017,NA,NA,NA
BEN,2009,NA,NA,NA
BEN,2010,NA,NA,NA
BEN,2011,0.1,0.17,0.06
BEN,2012,0.09,0.15,0.05
BEN,2013,0.12,0.21,0.08
BEN,2014,0.26,0.44,0.17
BEN,2015,0.27,0.46,0.17
BEN,2016,0.25,0.44,0.16
BEN,2017,0.32,0.55,0.2
BFA,2009,0.03,0.05,0.03
BFA,2010,0.09,0.14,0.07
BFA,2011,0.13,0.2,0.11
BFA,2012,0.19,0.27,0.15
BFA,2013,0.25,0.35,0.2
BFA,2014,0.3,0.43,0.24
BFA,2015,0.28,0.4,0.22
BFA,2016,0.15,0.21,0.11
BFA,2017,0.16,0.23,0.12
BGD,2009,NA,NA,NA
BGD,2010,0.02,0.03,0.02
BGD,2011,0.02,0.03,0.02
BGD,2012,0.02,0.03,0.02
BGD,2013,0.03,0.03,0.02
BGD,2014,0.15,0.18,0.13
BGD,2015,0.1,0.12,0.08
BGD,2016,0.17,0.2,0.14
BGD,2017,0.14,0.16,0.12
BGR,2009,NA,NA,NA
BGR,2010,NA,NA,NA
BGR,2011,NA,NA,NA
BGR,2012,NA,NA,NA
BGR,2013,NA,NA,NA
BGR,2014,NA,NA,NA
BGR,2015,NA,NA,NA
BGR,2016,NA,NA,NA
BGR,2017,NA,NA,NA
BHR,2009,NA,NA,NA
BHR,2010,NA,NA,NA
BHR,2011,NA,NA,NA
BHR,2012,NA,NA,NA
BHR,2013,NA,NA,NA
BHR,2014,NA,NA,NA
BHR,2015,NA,NA,NA
BHR,2016,NA,NA,NA
BHR,2017,NA,NA,NA
BHS,2009,NA,NA,NA
BHS,2010,NA,NA,NA
BHS,2011,NA,NA,NA
BHS,2012,NA,NA,NA
BHS,2013,NA,NA,NA
BHS,2014,NA,NA,NA
BHS,2015,NA,NA,NA
BHS,2016,NA,NA,NA
BHS,2017,NA,NA,NA
BIH,2009,NA,NA,NA
BIH,2010,NA,NA,NA
BIH,2011,NA,NA,NA
BIH,2012,NA,NA,NA
BIH,2013,NA,NA,NA
BIH,2014,NA,NA,NA
BIH,2015,NA,NA,NA
BIH,2016,NA,NA,NA
BIH,2017,NA,NA,NA
BLR,2009,0.95,0.95,0.95
BLR,2010,0.95,0.95,0.95
BLR,2011,0.95,0.95,0.91
BLR,2012,0.95,0.95,0.95
BLR,2013,0.95,0.95,0.95
BLR,2014,0.95,0.95,0.8
BLR,2015,0.8,0.95,0.59
BLR,2016,0.95,0.95,0.78
BLR,2017,0.87,0.95,0.61
BLZ,2009,0.77,0.89,0.03
BLZ,2010,0.75,0.88,0.03
BLZ,2011,0.72,0.8,0.04
BLZ,2012,0.51,0.57,0.03
BLZ,2013,0.55,0.62,0.03
BLZ,2014,0.5,0.57,0.03
BLZ,2015,0.62,0.7,0.03
BLZ,2016,0.37,0.42,0.02
BLZ,2017,0.36,0.4,0.02
BOL,2009,0.07,0.1,0.05
BOL,2010,0.46,0.67,0.34
BOL,2011,0.46,0.68,0.34
BOL,2012,0.46,0.71,0.34
BOL,2013,0.46,0.67,0.33
BOL,2014,0.44,0.65,0.32
BOL,2015,0.43,0.66,0.32
BOL,2016,0.42,0.61,0.3
BOL,2017,0.4,0.57,0.28
BRA,2009,0.25,0.35,0.19
BRA,2010,0.25,0.35,0.19
BRA,2011,0.46,0.63,0.35
BRA,2012,0.25,0.35,0.19
BRA,2013,0.45,0.63,0.35
BRA,2014,0.45,0.62,0.34
BRA,2015,0.46,0.65,0.35
BRA,2016,0.46,0.63,0.35
BRA,2017,0.45,0.63,0.35
BRB,2009,NA,NA,NA
BRB,2010,NA,NA,NA
BRB,2011,NA,NA,NA
BRB,2012,NA,NA,NA
BRB,2013,NA,NA,NA
BRB,2014,NA,NA,NA
BRB,2015,NA,NA,NA
BRB,2016,NA,NA,NA
BRB,2017,NA,NA,NA
BRN,2009,NA,NA,NA
BRN,2010,NA,NA,NA
BRN,2011,NA,NA,NA
BRN,2012,NA,NA,NA
BRN,2013,NA,NA,NA
BRN,2014,NA,NA,NA
BRN,2015,NA,NA,NA
BRN,2016,NA,NA,NA
BRN,2017,NA,NA,NA
BTN,2009,NA,NA,NA
BTN,2010,NA,NA,NA
BTN,2011,NA,NA,NA
BTN,2012,NA,NA,NA
BTN,2013,NA,NA,NA
BTN,2014,NA,NA,NA
BTN,2015,NA,NA,NA
BTN,2016,NA,NA,NA
BTN,2017,NA,NA,NA
BWA,2009,NA,NA,NA
BWA,2010,0.53,0.62,0.47
BWA,2011,0.35,0.41,0.32
BWA,2012,0.36,0.41,0.33
BWA,2013,0.48,0.55,0.43
BWA,2014,0.41,0.48,0.38
BWA,2015,0.45,0.53,0.41
BWA,2016,0.47,0.54,0.42
BWA,2017,0.5,0.57,0.44
CAF,2009,0.01,0.01,0.01
CAF,2010,0.01,0.01,0.01
CAF,2011,0.07,0.1,0.06
CAF,2012,0.05,0.07,0.04
CAF,2013,0.03,0.04,0.03
CAF,2014,0.09,0.11,0.07
CAF,2015,0.12,0.16,0.1
CAF,2016,0.21,0.27,0.17
CAF,2017,0.23,0.29,0.19
CAN,2009,NA,NA,NA
CAN,2010,NA,NA,NA
CAN,2011,NA,NA,NA
CAN,2012,NA,NA,NA
CAN,2013,NA,NA,NA
CAN,2014,NA,NA,NA
CAN,2015,NA,NA,NA
CAN,2016,NA,NA,NA
CAN,2017,NA,NA,NA
CHE,2009,NA,NA,NA
CHE,2010,NA,NA,NA
CHE,2011,NA,NA,NA
CHE,2012,NA,NA,NA
CHE,2013,NA,NA,NA
CHE,2014,NA,NA,NA
CHE,2015,NA,NA,NA
CHE,2016,NA,NA,NA
CHE,2017,NA,NA,NA
CHL,2009,NA,NA,NA
CHL,2010,NA,NA,NA
CHL,2011,0.64,0.72,0.56
CHL,2012,0.56,0.64,0.5
CHL,2013,0.67,0.77,0.59
CHL,2014,0.77,0.87,0.67
CHL,2015,0.92,0.95,0.79
CHL,2016,0.7,0.79,0.62
CHL,2017,0.85,0.95,0.76
CHN,2009,NA,NA,NA
CHN,2010,NA,NA,NA
CHN,2011,NA,NA,NA
CHN,2012,NA,NA,NA
CHN,2013,NA,NA,NA
CHN,2014,NA,NA,NA
CHN,2015,NA,NA,NA
CHN,2016,NA,NA,NA
CHN,2017,NA,NA,NA
CIV,2009,NA,NA,NA
CIV,2010,0.22,0.34,0.15
CIV,2011,0.03,0.05,0.02
CIV,2012,0.19,0.3,0.13
CIV,2013,0.12,0.19,0.08
CIV,2014,0.33,0.51,0.22
CIV,2015,0.28,0.43,0.19
CIV,2016,0.39,0.61,0.27
CIV,2017,0.4,0.62,0.27
CMR,2009,0.27,0.36,0.23
CMR,2010,0.2,0.26,0.16
CMR,2011,0.25,0.35,0.21
CMR,2012,0.3,0.42,0.26
CMR,2013,0.32,0.43,0.26
CMR,2014,0.36,0.49,0.3
CMR,2015,0.33,0.44,0.27
CMR,2016,0.53,0.71,0.44
CMR,2017,0.51,0.66,0.42
COD,2009,NA,NA,NA
COD,2010,0.03,0.04,0.02
COD,2011,0.05,0.07,0.04
COD,2012,0.07,0.1,0.05
COD,2013,0.1,0.13,0.07
COD,2014,0.14,0.2,0.11
COD,2015,0.16,0.22,0.13
COD,2016,0.2,0.28,0.16
COD,2017,0.34,0.46,0.27
COG,2009,0.08,0.12,0.06
COG,2010,0.07,0.1,0.05
COG,2011,0.03,0.05,0.03
COG,2012,0.05,0.08,0.04
COG,2013,0.04,0.06,0.03
COG,2014,0,0,0
COG,2015,0.01,0.02,0.01
COG,2016,0.02,0.03,0.02
COG,2017,0.03,0.05,0.03
COK,2009,NA,NA,NA
COK,2010,NA,NA,NA
COK,2011,NA,NA,NA
COK,2012,NA,NA,NA
COK,2013,NA,NA,NA
COK,2014,NA,NA,NA
COK,2015,NA,NA,NA
COK,2016,NA,NA,NA
COK,2017,NA,NA,NA
COL,2009,0.05,0.06,0.04
COL,2010,0.1,0.12,0.08
COL,2011,0.18,0.22,0.15
COL,2012,0.22,0.26,0.18
COL,2013,0.3,0.36,0.25
COL,2014,0.37,0.44,0.31
COL,2015,0.45,0.52,0.38
COL,2016,0.44,0.52,0.37
COL,2017,0.48,0.59,0.41
COM,2009,NA,NA,NA
COM,2010,NA,NA,NA
COM,2011,NA,NA,NA
COM,2012,NA,NA,NA
COM,2013,NA,NA,NA
COM,2014,NA,NA,NA
COM,2015,NA,NA,NA
COM,2016,NA,NA,NA
COM,2017,NA,NA,NA
CPV,2009,0.95,0.95,0.85
CPV,2010,0.95,0.95,0.87
CPV,2011,0.95,0.95,0.95
CPV,2012,0.76,0.95,0.63
CPV,2013,0.85,0.95,0.69
CPV,2014,0.94,0.95,0.76
CPV,2015,0.7,0.95,0.58
CPV,2016,0.94,0.95,0.76
CPV,2017,0.93,0.95,0.74
CRI,2009,0.92,0.95,0.81
CRI,2010,0.69,0.78,0.61
CRI,2011,0.66,0.76,0.58
CRI,2012,0.89,0.95,0.81
CRI,2013,0.66,0.75,0.58
CRI,2014,0.78,0.89,0.7
CRI,2015,0.79,0.91,0.71
CRI,2016,0.64,0.74,0.58
CRI,2017,0.71,0.81,0.64
CUB,2009,0.83,0.95,0.75
CUB,2010,0.95,0.95,0.85
CUB,2011,0.95,0.95,0.95
CUB,2012,0.95,0.95,0.95
CUB,2013,0.95,0.95,0.95
CUB,2014,0.92,0.95,0.83
CUB,2015,0.95,0.95,0.95
CUB,2016,0.95,0.95,0.95
CUB,2017,0.95,0.95,0.95
CYP,2009,NA,NA,NA
CYP,2010,NA,NA,NA
CYP,2011,NA,NA,NA
CYP,2012,NA,NA,NA
CYP,2013,NA,NA,NA
CYP,2014,NA,NA,NA
CYP,2015,NA,NA,NA
CYP,2016,NA,NA,NA
CYP,2017,NA,NA,NA
CZE,2009,NA,NA,NA
CZE,2010,NA,NA,NA
CZE,2011,NA,NA,NA
CZE,2012,NA,NA,NA
CZE,2013,NA,NA,NA
CZE,2014,NA,NA,NA
CZE,2015,NA,NA,NA
CZE,2016,NA,NA,NA
CZE,2017,NA,NA,NA
DEU,2009,NA,NA,NA
DEU,2010,NA,NA,NA
DEU,2011,NA,NA,NA
DEU,2012,NA,NA,NA
DEU,2013,NA,NA,NA
DEU,2014,NA,NA,NA
DEU,2015,NA,NA,NA
DEU,2016,NA,NA,NA
DEU,2017,NA,NA,NA
DJI,2009,NA,NA,NA
DJI,2010,NA,NA,NA
DJI,2011,0.02,0.02,0.01
DJI,2012,0.08,0.11,0.05
DJI,2013,0.08,0.11,0.06
DJI,2014,0.02,0.02,0.01
DJI,2015,0.08,0.11,0.06
DJI,2016,0.1,0.14,0.08
DJI,2017,0.1,0.15,0.07
DMA,2009,NA,NA,NA
DMA,2010,NA,NA,NA
DMA,2011,NA,NA,NA
DMA,2012,NA,NA,NA
DMA,2013,NA,NA,NA
DMA,2014,NA,NA,NA
DMA,2015,NA,NA,NA
DMA,2016,NA,NA,NA
DMA,2017,NA,NA,NA
DNK,2009,NA,NA,NA
DNK,2010,NA,NA,NA
DNK,2011,NA,NA,NA
DNK,2012,NA,NA,NA
DNK,2013,NA,NA,NA
DNK,2014,NA,NA,NA
DNK,2015,NA,NA,NA
DNK,2016,NA,NA,NA
DNK,2017,NA,NA,NA
DOM,2009,0.28,0.36,0.21
DOM,2010,0.1,0.13,0.08
DOM,2011,0.43,0.55,0.33
DOM,2012,0.46,0.6,0.36
DOM,2013,0.64,0.81,0.5
DOM,2014,0.95,0.95,0.95
DOM,2015,0.95,0.95,0.94
DOM,2016,0.72,0.94,0.56
DOM,2017,0.8,0.95,0.62
DZA,2009,NA,NA,NA
DZA,2010,NA,NA,NA
DZA,2011,0.38,0.42,0.35
DZA,2012,0.23,0.25,0.21
DZA,2013,0.55,0.6,0.5
DZA,2014,0.27,0.3,0.25
DZA,2015,0.23,0.25,0.21
DZA,2016,0.33,0.37,0.31
DZA,2017,0.61,0.68,0.57
ECU,2009,0.01,0.01,0
ECU,2010,0.01,0.01,0
ECU,2011,0.95,0.95,0.57
ECU,2012,0.87,0.95,0.49
ECU,2013,0.21,0.31,0.12
ECU,2014,0.87,0.95,0.51
ECU,2015,0.54,0.78,0.32
ECU,2016,0.7,0.95,0.4
ECU,2017,0.69,0.95,0.41
EGY,2009,0.04,0.04,0.03
EGY,2010,0.05,0.05,0.04
EGY,2011,0.04,0.05,0.04
EGY,2012,0.04,0.05,0.04
EGY,2013,0.04,0.04,0.03
EGY,2014,0.05,0.06,0.05
EGY,2015,0.07,0.08,0.06
EGY,2016,0.1,0.11,0.09
EGY,2017,0.11,0.12,0.1
ERI,2009,NA,NA,NA
ERI,2010,NA,NA,NA
ERI,2011,NA,NA,NA
ERI,2012,NA,NA,NA
ERI,2013,0.27,0.38,0.21
ERI,2014,0.39,0.54,0.31
ERI,2015,0.36,0.51,0.29
ERI,2016,0.39,0.54,0.3
ERI,2017,0.15,0.21,0.11
ESP,2009,NA,NA,NA
ESP,2010,NA,NA,NA
ESP,2011,NA,NA,NA
ESP,2012,NA,NA,NA
ESP,2013,NA,NA,NA
ESP,2014,NA,NA,NA
ESP,2015,NA,NA,NA
ESP,2016,NA,NA,NA
ESP,2017,NA,NA,NA
EST,2009,NA,NA,NA
EST,2010,NA,NA,NA
EST,2011,NA,NA,NA
EST,2012,NA,NA,NA
EST,2013,NA,NA,NA
EST,2014,NA,NA,NA
EST,2015,NA,NA,NA
EST,2016,NA,NA,NA
EST,2017,NA,NA,NA
ETH,2009,0.04,0.06,0.03
ETH,2010,0.4,0.61,0.3
ETH,2011,0.15,0.23,0.12
ETH,2012,0.24,0.36,0.18
ETH,2013,0.24,0.37,0.18
ETH,2014,0.25,0.37,0.19
ETH,2015,0.31,0.46,0.23
ETH,2016,0.45,0.68,0.34
ETH,2017,0.38,0.58,0.29
FIN,2009,NA,NA,NA
FIN,2010,NA,NA,NA
FIN,2011,NA,NA,NA
FIN,2012,NA,NA,NA
FIN,2013,NA,NA,NA
FIN,2014,NA,NA,NA
FIN,2015,NA,NA,NA
FIN,2016,NA,NA,NA
FIN,2017,NA,NA,NA
FJI,2009,NA,NA,NA
FJI,2010,NA,NA,NA
FJI,2011,NA,NA,NA
FJI,2012,NA,NA,NA
FJI,2013,NA,NA,NA
FJI,2014,NA,NA,NA
FJI,2015,NA,NA,NA
FJI,2016,NA,NA,NA
FJI,2017,NA,NA,NA
FRA,2009,NA,NA,NA
FRA,2010,NA,NA,NA
FRA,2011,NA,NA,NA
FRA,2012,NA,NA,NA
FRA,2013,NA,NA,NA
FRA,2014,NA,NA,NA
FRA,2015,NA,NA,NA
FRA,2016,NA,NA,NA
FRA,2017,NA,NA,NA
FSM,2009,NA,NA,NA
FSM,2010,NA,NA,NA
FSM,2011,NA,NA,NA
FSM,2012,NA,NA,NA
FSM,2013,NA,NA,NA
FSM,2014,NA,NA,NA
FSM,2015,NA,NA,NA
FSM,2016,NA,NA,NA
FSM,2017,NA,NA,NA
GAB,2009,NA,NA,NA
GAB,2010,0.06,0.08,0.05
GAB,2011,0.27,0.35,0.23
GAB,2012,0.28,0.38,0.24
GAB,2013,0.16,0.21,0.14
GAB,2014,0.2,0.26,0.17
GAB,2015,0.24,0.31,0.21
GAB,2016,0.24,0.31,0.21
GAB,2017,0.04,0.05,0.03
GBR,2009,NA,NA,NA
GBR,2010,NA,NA,NA
GBR,2011,NA,NA,NA
GBR,2012,NA,NA,NA
GBR,2013,NA,NA,NA
GBR,2014,NA,NA,NA
GBR,2015,NA,NA,NA
GBR,2016,NA,NA,NA
GBR,2017,NA,NA,NA
GEO,2009,0.61,0.77,0.49
GEO,2010,0.82,0.95,0.66
GEO,2011,0.69,0.85,0.58
GEO,2012,0.62,0.74,0.5
